Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Unique_Venues,Unique_States,Most_Visited_Venue,Times_At_Most_Visited,Venue_Diversity_Ratio,Max_Single_Trip
Keith Kimble,90,47458.79,533.24,52,29,"Gainbridge Fieldhouse (Indianapolis, IN)",5,0.58,2692.65
Bert Smith,96,43223.31,454.98,61,28,"Purcell Pavilion at the Joyce Center (Notre Dame, IN)",5,0.64,1824.4
Earl Walton,71,43024.52,614.64,38,21,"Pinnacle Bank Arena (Lincoln, NE)",6,0.54,2541.92
Jeffrey Anderson,78,42332.58,549.77,40,21,"Carver-Hawkeye Arena (Iowa City, IA)",6,0.51,2042.64
Ray Natili,80,41592.29,526.48,50,20,"United Supermarkets Arena (Lubbock, TX)",4,0.62,1986.38
Kelly Pfeifer,67,41112.53,622.92,39,21,"Breslin Events Center (East Lansing, MI)",4,0.58,2453.85
Brian Dorsey,85,40919.69,487.14,47,32,"Williams Arena (Minneapolis, MN)",5,0.55,2124.74
Larry Scirotto,63,39542.46,637.78,34,21,"XFINITY Center (College Park, MD)",4,0.54,4193.39
Michael Greenstein,77,38916.25,512.06,53,20,"McKale Center (Tucson, AZ)",4,0.69,2263.83
Brooks Wells,96,36375.17,382.9,47,20,"James H. Hilton Coliseum (Ames, IA)",6,0.49,1679.53
Paul Szelc,72,36115.04,508.66,41,23,"State Farm Center (Champaign, IL)",4,0.57,2278.95
Randy McCall,75,34915.93,471.84,48,21,"Allen Fieldhouse (Lawrence, KS)",4,0.64,2581.96
Tim Comer,63,33435.92,539.29,36,23,"Jersey Mike's Arena (Piscataway, NJ)",5,0.57,2461.55
Rick Crawford,69,32953.8,484.61,41,18,"Addition Financial Arena (Orlando, FL)",4,0.59,1934.39
Clarence Armstrong,94,32690.81,351.51,61,24,"JMA Wireless Dome (Syracuse, NY)",4,0.65,2171.37
Chance Moore,79,32437.88,415.87,45,21,"Allen Fieldhouse (Lawrence, KS)",5,0.57,1873.95
Tony Padilla,97,31767.18,330.91,51,23,"T-Mobile Center (Kansas City, MO)",5,0.53,1798.47
Roger Ayers,103,31545.37,309.27,56,26,"John Paul Jones Arena (Charlottesville, VA)",6,0.54,1974.0
Verne Harris,59,30742.35,530.04,25,20,"Thomas & Mack Center (Las Vegas, NV)",6,0.42,2048.19
Kevin Brill,53,30737.65,591.11,31,18,"Thomas & Mack Center (Las Vegas, NV)",5,0.58,1944.81
Jason Phillips,58,30645.52,537.64,26,18,"Pauley Pavilion (Los Angeles, CA)",5,0.45,2277.25
Nate Harris,65,30623.9,478.5,34,20,"The Pit (Albuquerque, NM)",4,0.52,2009.25
Edwin Young,58,30471.75,534.59,43,24,"Lawlor Events Center (Reno, NV)",3,0.74,2083.67
Michael Reed,47,30429.41,661.51,29,20,"Simon Skjodt Assembly Hall (Bloomington, IN)",3,0.62,2393.26
D.J. Carstensen,47,30144.74,655.32,30,19,"State Farm Center (Champaign, IL)",4,0.64,2385.93
Doug Sirmons,98,29667.68,305.85,51,28,"Bramlage Coliseum (Manhattan, KS)",6,0.52,1410.35
Pat Driscoll,65,29158.04,455.59,42,21,"Fiserv Forum (Milwaukee, WI)",4,0.65,4193.36
Gregory Nixon,76,28908.22,385.44,51,20,"Orleans Arena (Las Vegas, NV)",5,0.67,1751.65
Randy Richardson,69,28893.32,424.9,38,19,"Steve Fisher Court at Viejas Arena (San Diego, CA)",4,0.55,2046.38
Marques Pettigrew,84,28444.96,342.71,42,18,"UCU Pavilion (Moraga, CA)",5,0.5,1861.78
Michael Irving,64,27722.82,440.04,30,19,"Matthew Knight Arena (Eugene, OR)",4,0.47,2277.25
Kipp Kissinger,104,27502.02,267.01,48,24,"Foster Pavilion (Waco, TX)",8,0.46,1773.09
Amy Bonner,76,27144.23,361.92,45,25,"Thomas & Mack Center (Las Vegas, NV)",4,0.59,3777.4
Tommy Johnson,63,26668.39,430.14,41,19,"UCU Pavilion (Moraga, CA)",4,0.65,2490.59
John Gaffney,80,26220.8,331.91,53,24,"Madison Square Garden (New York, NY)",4,0.66,2379.55
Brent Hampton,81,26113.82,326.42,46,26,"Wintrust Arena (Chicago, IL)",5,0.57,4330.07
Bret Smith,75,26063.9,352.21,45,20,"United Supermarkets Arena (Lubbock, TX)",3,0.6,2163.76
James Breeding,69,26053.02,383.13,37,20,"Madison Square Garden (New York, NY)",7,0.54,2362.99
Tommy Morrissey,70,25826.84,374.3,47,23,"LJVM Coliseum (Winston-Salem, NC)",3,0.67,2278.51
Eric Curry,56,25660.3,466.55,43,22,"McLeod Center (Cedar Falls, IA)",3,0.77,2614.62
Mike Littlewood,63,25548.83,412.08,35,20,"Clune Arena (U.S. Air Force Academy, CO)",5,0.56,1972.09
Andy O'Brien,55,23940.94,443.35,40,21,"XFINITY Center (College Park, MD)",3,0.73,2083.67
Bart Lenox,77,23403.59,307.94,53,23,"Reed Arena (Bryan-College Station, TX)",4,0.69,1875.85
Ron Groover,90,23048.17,258.97,53,25,"TD Arena (Charleston, SC)",7,0.59,2213.02
Tony Henderson,73,22962.38,318.92,47,19,"Petersen Events Center (Pittsburgh, PA)",5,0.64,2279.56
Brian McNutt,42,22938.73,559.48,29,18,"Scheels Center (Fargo, ND)",3,0.69,1763.37
Lee Cassell,92,22887.64,251.51,53,23,"Littlejohn Coliseum (Clemson, SC)",5,0.58,1542.62
Tyler Kumpf,51,21896.69,437.93,33,18,"Fifth Third Arena (Cincinnati, OH)",5,0.65,2163.84
Don Daily,80,21848.54,276.56,46,22,"Bartow Arena (Birmingham, AL)",5,0.57,1595.66
Terry Oglesby,84,21787.52,262.5,50,23,"Food City Center (Knoxville, TN)",4,0.6,1738.8
John Floyd,59,21700.6,374.15,41,18,"Mackey Arena (West Lafayette, IN)",3,0.69,2392.39
Todd Austin,70,21693.04,314.39,44,22,"Super Pit (Denton, TX)",5,0.63,1473.09
Courtney Green,78,21550.28,279.87,47,18,"Exactech Arena at Stephen C. O'Connell Center (Gainesville, FL)",4,0.6,1324.15
Tony Chiazza,76,20873.39,278.31,53,22,"Cintas Center (Cincinnati, OH)",4,0.7,1953.5
Scott Brown,40,20548.98,526.9,24,18,"Dee Glen Smith Spectrum (Logan, UT)",4,0.6,2499.07
Antinio Petty,51,20506.73,410.13,37,18,"Fifth Third Arena (Cincinnati, OH)",3,0.73,1742.09
Landon Brandes,53,20362.15,391.58,35,13,"Avron B. Fogelman Arena in Devlin Fieldhouse (New Orleans, LA)",4,0.66,1382.99
Owen Shortt,82,20185.69,249.21,47,21,"Charles Koch Arena (Wichita, KS)",5,0.57,1199.53
Matt Potter,83,20118.75,245.35,52,23,"Fiserv Forum (Milwaukee, WI)",4,0.63,1153.01
Brian O'Connell,70,19838.66,287.52,43,22,"Prudential Center (Newark, NJ)",6,0.61,1379.46
Darron George,56,19816.4,360.3,39,16,"Addition Financial Arena (Orlando, FL)",3,0.7,1438.66
Nathan Farrell,60,19568.05,331.66,38,18,"CHI Health Center Omaha (Omaha, NE)",5,0.63,2445.39
Ted Valentine,73,19543.29,271.43,39,16,"KFC Yum! Center (Louisville, KY)",6,0.53,1299.25
Lucas Santos,73,19180.06,266.39,45,17,"Mizzou Arena (Columbia, MO)",4,0.62,1989.67
Doug Shows,82,18723.13,231.15,49,20,"Lloyd Noble Center (Norman, OK)",4,0.6,1318.26
Alfred Smith,51,18659.21,373.18,33,18,"Allen County War Memorial Coliseum (Fort Wayne, IN)",4,0.65,1667.56
Anthony Burris,43,18039.96,429.52,30,18,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.7,1184.7
Deldre Carr,40,17912.18,459.29,30,17,"Alaska Airlines Arena (Seattle, WA)",2,0.75,2191.74
Lamar Simpson,69,17305.73,254.5,49,22,"Wintrust Arena (Chicago, IL)",5,0.71,2569.98
Chad Barlow,52,17134.92,335.98,33,16,"James A. Rhodes Arena (Akron, OH)",4,0.63,1771.93
Greg Evans,71,17000.7,242.87,50,18,"Hinkle Fieldhouse (Indianapolis, IN)",4,0.7,2322.27
Patrick Evans,52,16872.57,330.83,34,15,"Donald W. Reynolds Center (Tulsa, OK)",3,0.65,1424.18
Jeb Hartness,80,16568.35,209.73,50,19,"Reed Arena (Bryan-College Station, TX)",5,0.62,1146.14
De Selle Dean,43,16286.74,387.78,30,13,"McKale Center (Tucson, AZ)",3,0.7,2190.68
Pat Adams,62,16115.15,264.18,31,13,"Stegeman Coliseum (Athens, GA)",6,0.5,1800.9
Steven Anderson,71,16098.56,229.98,43,20,"Exactech Arena at Stephen C. O'Connell Center (Gainesville, FL)",4,0.61,1481.88
A.J. Desai,49,15787.93,328.92,36,18,"Haas Pavilion (Berkeley, CA)",3,0.73,2636.03
John Hampton,40,15768.4,404.32,28,16,"Acrisure Arena (Palm Desert, CA)",4,0.7,1993.39
Joe Lindsay,69,15713.36,231.08,44,19,"Bud Walton Arena (Fayetteville, AR)",5,0.64,1298.73
Deron White,58,15701.45,275.46,44,16,"Titan Gym (Fullerton, CA)",3,0.76,1850.37
Ryan Sassano,54,15408.92,290.73,40,16,"UPMC Cooper Fieldhouse (Pittsburgh, PA)",4,0.74,2474.86
Mason Siler,31,15200.54,506.68,22,12,"Truist Arena (Highland Heights, KY)",3,0.71,1952.25
Bryan Anslinger,34,15094.17,457.4,22,12,"Betty Engelstad Sioux Center (Grand Forks, ND)",4,0.65,1237.56
Byron Jarrett,76,15046.68,200.62,46,15,"Moody Center (Austin, TX)",4,0.61,1204.97
Clare Aubry,19,15043.68,835.76,16,13,"KFC Yum! Center (Louisville, KY)",2,0.84,2433.34
Rob Kueneman,38,15027.55,406.15,23,13,"First Bank & Trust Arena (Brookings, SD)",4,0.61,2044.53
Josue Nieves,46,14892.18,330.94,37,17,"Stegeman Coliseum (Athens, GA)",3,0.8,1634.19
Kelly Self,58,14879.35,261.04,31,12,"Athletics-Recreation Center (Valparaiso, IN)",4,0.53,1423.26
Jerry Heater,65,14832.12,231.75,43,17,"Qubein Arena (High Point, NC)",4,0.66,2368.88
Tim Stewart,40,14790.59,379.25,23,8,"James A. Rhodes Arena (Akron, OH)",5,0.57,1374.98
Gary Maxwell,40,14758.92,378.43,26,16,"Ford Center (Evansville, IN)",3,0.65,1868.26
Olandis Poole,66,14709.5,226.3,38,18,"Maravich Assembly Center (Baton Rouge, LA)",6,0.58,1924.56
Vladimir Voyard-Tadal,66,14658.71,225.52,41,15,"The Sandy and John Black Pavilion at Ole Miss (Oxford, MS)",4,0.62,1756.44
Justin Porterfield,49,14625.16,304.69,35,13,"Watsco Center (Coral Gables, FL)",3,0.71,2683.8
Shane Staggs,25,14521.61,605.07,22,10,"Knights Hall (Louisville, KY)",2,0.88,1773.43
Jason Baker,70,14504.07,210.2,48,18,"Cam Henderson Center (Huntington, WV)",3,0.69,1160.14
Isaac Barnett,55,14446.6,267.53,36,17,"Convocation Center (Hampton, VA)",6,0.65,2614.42
Shaun Seales,47,14419.65,313.47,34,13,"Tudor Fieldhouse (Houston, TX)",4,0.72,1434.16
Keith Patterson,31,14398.73,479.96,24,16,"John Gray Gymnasium (George Town, Cayman Islands)",3,0.77,2380.43
Evon Burroughs,61,14266.32,237.77,36,13,"Finneran Pavilion (Villanova, PA)",4,0.59,1266.58
Jemel Spearman,54,14179.11,267.53,34,17,"Littlejohn Coliseum (Clemson, SC)",3,0.63,2395.68
Steve Honacki,36,14117.28,403.35,20,12,"Scheels Center (Fargo, ND)",5,0.56,1522.01
Luke Schumer,41,13988.91,349.72,28,15,"Truist Arena (Highland Heights, KY)",3,0.68,1086.27
Wil Howard,52,13965.38,273.83,37,19,"Yuengling Center (Tampa, FL)",4,0.71,1143.64
Layne Barney,29,13876.2,495.58,24,10,"Chiles Center (Portland, OR)",3,0.83,1836.26
Matt Rafferty,22,13751.42,654.83,19,10,"Jon M. Huntsman Center (Salt Lake City, UT)",2,0.86,1836.26
James Duke,26,13650.19,546.01,17,14,"Fifth Third Arena (Cincinnati, OH)",4,0.65,1969.54
Garrick Shannon,47,13349.33,290.2,31,15,"Maravich Assembly Center (Baton Rouge, LA)",4,0.66,1187.33
Tim Clougherty,71,13286.66,189.81,41,20,"Wintrust Arena (Chicago, IL)",4,0.58,1276.29
Randy Heimerman,30,13082.1,451.11,16,9,"CEFCU Arena (Normal, IL)",5,0.53,1736.96
Crystal Hogan,33,13015.94,406.75,26,21,"SimpliFi Arena at Stan Sheriff Center (Honolulu, HI)",3,0.79,1930.18
Josh White,27,12880.5,495.4,15,11,"Convocation Center (Athens, OH)",4,0.56,2128.43
Mark Riggs,34,12761.28,386.71,23,13,"Hamilton Gymnasium (Denver, CO)",4,0.68,2017.57
Chuck Jones,57,12581.13,224.66,38,18,"Reed Arena (Bryan-College Station, TX)",6,0.67,2107.54
Todd Von Sossan,33,12275.05,383.6,19,9,"Millett Hall (Oxford, OH)",4,0.58,904.67
Jourdan Love,34,12187.83,369.33,26,13,"Ervin J. Nutter Center (Fairborn, OH)",2,0.76,2063.65
Justin Albrecht,20,12081.14,635.85,15,10,"Wintrust Arena (Chicago, IL)",5,0.75,1584.71
