Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Keith Kimble,90,47458.79,533.24,2692.65
Bert Smith,96,43223.31,454.98,1824.4
Earl Walton,71,43024.52,614.64,2541.92
Jeffrey Anderson,78,42332.58,549.77,2042.64
Ray Natili,80,41592.29,526.48,1986.38
Kelly Pfeifer,67,41112.53,622.92,2453.85
Brian Dorsey,85,40919.69,487.14,2124.74
Larry Scirotto,63,39542.46,637.78,4193.39
Michael Greenstein,77,38916.25,512.06,2263.83
Brooks Wells,96,36375.17,382.9,1679.53
Paul Szelc,72,36115.04,508.66,2278.95
Randy McCall,75,34915.93,471.84,2581.96
Tim Comer,63,33435.92,539.29,2461.55
Rick Crawford,69,32953.8,484.61,1934.39
Clarence Armstrong,94,32690.81,351.51,2171.37
Chance Moore,79,32437.88,415.87,1873.95
Tony Padilla,97,31767.18,330.91,1798.47
Roger Ayers,103,31545.37,309.27,1974.0
Verne Harris,59,30742.35,530.04,2048.19
Kevin Brill,53,30737.65,591.11,1944.81
Jason Phillips,58,30645.52,537.64,2277.25
Nate Harris,65,30623.9,478.5,2009.25
Edwin Young,58,30471.75,534.59,2083.67
Michael Reed,47,30429.41,661.51,2393.26
D.J. Carstensen,47,30144.74,655.32,2385.93
Doug Sirmons,98,29667.68,305.85,1410.35
Pat Driscoll,65,29158.04,455.59,4193.36
Gregory Nixon,76,28908.22,385.44,1751.65
Randy Richardson,69,28893.32,424.9,2046.38
Marques Pettigrew,84,28444.96,342.71,1861.78
Michael Irving,64,27722.82,440.04,2277.25
Kipp Kissinger,104,27502.02,267.01,1773.09
Amy Bonner,76,27144.23,361.92,3777.4
Tommy Johnson,63,26668.39,430.14,2490.59
John Gaffney,80,26220.8,331.91,2379.55
Brent Hampton,81,26113.82,326.42,4330.07
Bret Smith,75,26063.9,352.21,2163.76
James Breeding,69,26053.02,383.13,2362.99
Tommy Morrissey,70,25826.84,374.3,2278.51
Eric Curry,56,25660.3,466.55,2614.62
Mike Littlewood,63,25548.83,412.08,1972.09
Andy O'Brien,55,23940.94,443.35,2083.67
Bart Lenox,77,23403.59,307.94,1875.85
Ron Groover,90,23048.17,258.97,2213.02
Tony Henderson,73,22962.38,318.92,2279.56
Brian McNutt,42,22938.73,559.48,1763.37
Lee Cassell,92,22887.64,251.51,1542.62
Tyler Kumpf,51,21896.69,437.93,2163.84
Don Daily,80,21848.54,276.56,1595.66
Terry Oglesby,84,21787.52,262.5,1738.8
John Floyd,59,21700.6,374.15,2392.39
Todd Austin,70,21693.04,314.39,1473.09
Courtney Green,78,21550.28,279.87,1324.15
Tony Chiazza,76,20873.39,278.31,1953.5
Scott Brown,40,20548.98,526.9,2499.07
Antinio Petty,51,20506.73,410.13,1742.09
Landon Brandes,53,20362.15,391.58,1382.99
Owen Shortt,82,20185.69,249.21,1199.53
Matt Potter,83,20118.75,245.35,1153.01
